"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/29/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/28/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"10/27/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/08/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/07/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/03/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/02/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"09/01/2021","0.0700","0.0700","0.0700","0.0700","","40.00%"
"08/31/2021","0.0500","0.0500","0.0500","0.0500","","-37.50%"
"08/17/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/10/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/02/2021","0.0800","0.0800","0.0800","0.0800","","14.29%"
"07/30/2021","0.0700","0.0700","0.0700","0.0700","","-12.50%"
"07/29/2021","0.0800","0.0800","0.0800","0.0800","","0.00%"
"07/22/2021","0.0800","0.0800","0.0800","0.0800","","-11.11%"
"07/02/2021","0.0900","0.0900","0.0900","0.0900","","80.00%"
"06/30/2021","0.0500","0.0500","0.0500","0.0500","","-44.44%"
"06/18/2021","0.0900","0.0900","0.0900","0.0900","","12.50%"
"06/17/2021","0.0800","0.0800","0.0800","0.0800","","33.33%"
"06/10/2021","0.0600","0.0600","0.0600","0.0600","","0.00%"
"06/01/2021","0.0600","0.0600","0.0600","0.0600","","200.00%"
"05/28/2021","0.0200","0.0200","0.0200","0.0200","","-66.67%"
"05/12/2021","0.0600","0.0600","0.0600","0.0600","","20.00%"
"05/05/2021","0.0500","0.0500","0.0500","0.0500","","-16.67%"
"05/04/2021","0.0600","0.0600","0.0600","0.0600","","100.00%"
"04/30/2021","0.0300","0.0300","0.0300","0.0300","","-57.14%"
"04/22/2021","0.0700","0.0700","0.0700","0.0700","","0.00%"
"04/01/2021","0.0700","0.0700","0.0700","0.0700","","40.00%"
"03/31/2021","0.0500","0.0500","0.0500","0.0500","","-28.57%"
"03/25/2021","0.0700","0.0700","0.0700","0.0700","","-12.50%"
"09/14/2020","0.0800","0.0800","0.0800","0.0800","","0.00%"
"08/03/2020","0.0800","0.0800","0.0800","0.0800","","0.00%"
"06/12/2020","0.0800","0.0800","0.0800","0.0800","","14.29%"
"06/11/2020","0.0700","0.0700","0.0700","0.0700","","16.67%"
"06/04/2020","0.0600","0.0600","0.0600","0.0600","","20.00%"
"05/15/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/14/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/13/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"05/12/2020","0.0500","0.0500","0.0500","0.0500","","25.00%"
"04/28/2020","0.0400","0.0400","0.0400","0.0400","","0.00%"
"04/27/2020","0.0400","0.0400","0.0400","0.0400","","-20.00%"
"04/13/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"04/03/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"04/02/2020","0.0500","0.0500","0.0500","0.0500","","150.00%"
"03/31/2020","0.0200","0.0200","0.0200","0.0200","","-60.00%"
"03/27/2020","0.0500","0.0500","0.0500","0.0500","","0.00%"
"03/26/2020","0.0500","0.0500","0.0500","0.0500","","-50.00%"
"03/25/2020","0.1000","0.1000","0.1000","0.1000","","-60.00%"
"03/24/2020","0.2500","0.2500","0.2500","0.2500","","66.67%"
"03/23/2020","0.1500","0.1500","0.1500","0.1500","","-40.00%"
"03/20/2020","0.2500","0.2500","0.2500","0.2500","","0.00%"
"03/18/2020","0.2500","0.2500","0.2500","0.2500","","-37.50%"
"03/16/2020","0.4000","0.4000","0.4000","0.4000","","-62.96%"
"03/05/2020","1.0800","1.0800","1.0800","1.0800","","-1.82%"
"03/04/2020","1.1000","1.1000","1.1000","1.1000","","-30.38%"
"02/06/2020","1.5800","1.5800","1.5800","1.5800","","0.00%"
"02/03/2020","1.5800","1.5800","1.5800","1.5800","","-0.63%"
"01/30/2020","1.5900","1.5900","1.5900","1.5900","","2.58%"
"01/23/2020","1.5500","1.5500","1.5500","1.5500","","0.65%"
"01/08/2020","1.5400","1.5400","1.5400","1.5400","","-0.65%"
"01/02/2020","1.5500","1.5500","1.5500","1.5500","","-0.64%"
"12/31/2019","1.5600","1.5600","1.5600","1.5600","","1.30%"
"12/11/2019","1.5400","1.5400","1.5400","1.5400","","0.00%"
"12/03/2019","1.5400","1.5400","1.5400","1.5400","","-1.28%"
"11/29/2019","1.5600","1.5600","1.5600","1.5600","","0.65%"
"11/15/2019","1.5500","1.5500","1.5500","1.5500","","0.65%"
"11/05/2019","1.5400","1.5400","1.5400","1.5400","","-0.65%"
"10/31/2019","1.5500","1.5500","1.5500","1.5500","","-13.89%"
"10/25/2019","1.8000","1.8000","1.8000","1.8000","","-1.64%"
"10/24/2019","1.8300","1.8300","1.8300","1.8300","","1.67%"
"10/23/2019","1.8000","1.8000","1.8000","1.8000","","-2.70%"
"10/22/2019","1.8500","1.8500","1.8500","1.8500","","0.00%"
"10/17/2019","1.8500","1.8500","1.8500","1.8500","","-5.13%"
"10/16/2019","1.9500","1.9500","1.9500","1.9500","","8.33%"
"10/11/2019","1.8000","1.8000","1.8000","1.8000","","0.00%"
"10/10/2019","1.8000","1.8000","1.8000","1.8000","","0.00%"
"10/09/2019","1.8000","1.8000","1.8000","1.8000","","0.00%"
"10/08/2019","1.8000","1.8000","1.8000","1.8000","","0.00%"
"10/07/2019","1.8000","1.8000","1.8000","1.8000","","0.00%"
"10/04/2019","1.8000","1.8000","1.8000","1.8000","","-1.64%"
"10/03/2019","1.8300","1.8300","1.8300","1.8300","","-1.08%"
"10/02/2019","1.8500","1.8500","1.8500","1.8500","","0.00%"
"10/01/2019","1.8500","1.8500","1.8500","1.8500","","-2.63%"
"09/30/2019","1.9000","1.9000","1.9000","1.9000","","2.70%"
"09/27/2019","1.8500","1.8500","1.8500","1.8500","","1.65%"
"09/26/2019","1.8200","1.8200","1.8200","1.8200","","1.11%"
"09/25/2019","1.8000","1.8000","1.8000","1.8000","","-2.70%"
"09/24/2019","1.8500","1.8500","1.8500","1.8500","","0.00%"
"09/23/2019","1.8500","1.8500","1.8500","1.8500","","0.00%"
"09/20/2019","1.8500","1.8500","1.8500","1.8500","","0.00%"
"09/19/2019","1.8500","1.8500","1.8500","1.8500","","-13.95%"
"09/18/2019","2.1500","2.1500","2.1500","2.1500","","0.00%"
"09/17/2019","2.1500","2.1500","2.1500","2.1500","","-2.27%"
"09/16/2019","2.2000","2.2000","2.2000","2.2000","","3.29%"
"09/13/2019","2.1300","2.1300","2.1300","2.1300","","1.43%"
"09/12/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"09/11/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"09/10/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"09/09/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"09/06/2019","2.1000","2.1000","2.1000","2.1000","","-0.47%"
"09/05/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"09/04/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"09/03/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/30/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/29/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/28/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/27/2019","2.1100","2.1100","2.1100","2.1100","","0.48%"
"08/26/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"08/23/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"08/22/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"08/21/2019","2.1000","2.1000","2.1000","2.1000","","-0.47%"
"08/20/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/19/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/16/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/15/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/14/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/13/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/12/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/09/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/08/2019","2.1100","2.1100","2.1100","2.1100","","0.00%"
"08/07/2019","2.1100","2.1100","2.1100","2.1100","","0.48%"
"08/06/2019","2.1000","2.1000","2.1000","2.1000","","0.00%"
"08/05/2019","2.1000","2.1000","2.1000","2.1000","","-1.41%"
"08/02/2019","2.1300","2.1300","2.1300","2.1300","","-0.47%"
"08/01/2019","2.1400","2.1400","2.1400","2.1400","","-9.70%"
"07/31/2019","2.3700","2.3700","2.3700","2.3700","","-1.25%"
"07/30/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/29/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/26/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/25/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/24/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/23/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/22/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/19/2019","2.4000","2.4000","2.4000","2.4000","","-0.41%"
"07/18/2019","2.4100","2.4100","2.4100","2.4100","","1.69%"
"07/17/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"07/16/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"07/15/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"07/12/2019","2.3700","2.3700","2.3700","2.3700","","-0.42%"
"07/11/2019","2.3800","2.3800","2.3800","2.3800","","0.00%"
"07/10/2019","2.3800","2.3800","2.3800","2.3800","","0.00%"
"07/09/2019","2.3800","2.3800","2.3800","2.3800","","-0.83%"
"07/08/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"07/05/2019","2.4000","2.4000","2.4000","2.4000","","0.42%"
"07/03/2019","2.3900","2.3900","2.3900","2.3900","","0.00%"
"07/02/2019","2.3900","2.3900","2.3900","2.3900","","1.27%"
"07/01/2019","2.3600","2.3600","2.3600","2.3600","","-0.42%"
"06/28/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"06/27/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"06/26/2019","2.3700","2.3700","2.3700","2.3700","","0.42%"
